site_no,station_nm,lat,lon,is_fallback
14238000,"COWLITZ RIVER BELOW MAYFIELD DAM, WA",46.51038526,-122.616224,False
14243000,"COWLITZ RIVER AT CASTLE ROCK, WA",46.2748332,-122.9145587,False
14245000,"COWEMAN RIVER NEAR KELSO, WA",46.1281687,-122.8384425,False
