predictor,slope,intercept,r2,se,n
dS_1day_cfs,-0.673122221096394,-7750.590954480023,0.7586196048695136,7565.301801815381,17
dS_2day_cfs,-0.8685313258716455,-3835.770710422595,0.8711400536413384,5527.569784164035,17
dS_3day_cfs,-0.982735470644781,-4537.300735826707,0.8533862378305489,5896.069987800129,17
dS_4day_cfs,-1.140222729865935,-4769.724178906557,0.8358581062701235,6238.568971357774,17
