WY,days_present,days_missing,flood_season_missing,One_day,One_day_Date,Three_Day,Three_Day_Date,Five_Day,Five_Day_Date,TableB1_OneDay,Season_Override,Season_Complete,OneDay_vs_TableB1_pct,Source
2017,365,0,0,59697.02801183065,2017-03-16,51009.62132161458,2017-03-18,47185.82014043172,2017-03-20,,True,True,,MassBalance_Daily
2018,365,0,0,50967.63668111165,2017-12-31,47284.91301023695,2017-11-25,39299.537009887696,2017-11-27,,True,True,,MassBalance_Daily
2019,365,0,0,25673.175188700356,2019-04-13,24388.551606411405,2019-04-14,22197.00407211304,2019-04-15,,True,True,,MassBalance_Daily
2020,366,0,0,72928.1705482483,2020-02-08,60464.87055104573,2020-02-10,51296.99252721151,2020-02-11,,True,True,,MassBalance_Daily
2021,365,0,0,60801.839757029215,2021-01-14,42828.89556376139,2021-01-15,35700.36653208415,2021-01-17,,True,True,,MassBalance_Daily
2022,365,0,0,74998.41981709798,2022-03-02,60850.576164245605,2021-11-15,50050.34371195475,2021-11-17,,True,True,,MassBalance_Daily
2023,364,1,1,97190.05355148316,2022-12-30,47709.94909625583,2023-01-01,35340.59651412964,2023-01-03,,True,True,,MassBalance_Daily
2024,366,0,0,79558.07347691854,2023-12-07,59644.00289035373,2023-12-08,48588.59233612061,2023-12-10,,True,True,,MassBalance_Daily
2025,365,0,0,39303.54790064494,2025-02-26,35252.63325390286,2025-02-27,30112.168358052568,2025-02-28,,True,True,,MassBalance_Daily
2026,239,126,5,100971.9598566691,2025-12-10,94669.17199757893,2025-12-12,77439.01840352376,2025-12-13,,True,True,,MassBalance_Daily
