WY,reg_peak_1hr,reg_peak_1hr_time,unreg_peak_1hr,unreg_peak_1hr_time,reg_peak_1day,reg_peak_1day_time,unreg_peak_1day,unreg_peak_1day_time,reg_minus_unreg_1hr,reg_minus_unreg_1day,peak_offset_hrs,unreg_cov_at_reg_peak,reg_coverage_octmar,unreg_coverage_octmar,reg_n_gaps,reg_max_gap_hrs,reg_nearest_gap_to_peak_hrs,unreg_n_gaps,unreg_max_gap_hrs,unreg_nearest_gap_to_peak_hrs
2015,38025.0,2015-01-06 01:00:00,47322.90625,2015-01-06 08:00:00,33587.5,2015-01-06 15:00:00,43516.791341145836,2015-01-06 17:00:00,-9297.90625,-9929.291341145836,-7.0,1.0,1.0,1.0,0,,,0,,
2016,83175.0,2015-12-09 16:00:00,135790.03125,2015-12-09 19:00:00,69096.875,2015-12-10 05:00:00,124895.9208984375,2015-12-10 10:00:00,-52615.03125,-55799.0458984375,-3.0,1.0,1.0,0.749,0,,,2,984.0,1045.0
2017,39850.0,2017-02-10 04:00:00,64342.25390625,2017-03-16 07:00:00,35802.083333333336,2017-02-10 19:00:00,62515.807291666664,2017-03-16 20:00:00,-24492.25390625,-26713.72395833333,-819.0,1.0,1.0,0.956,0,,,1,192.0,2096.0
2018,35050.0,2017-12-30 08:00:00,54187.7734375,2017-11-24 15:00:00,31420.833333333332,2017-12-30 19:00:00,52984.139811197914,2017-11-25 00:00:00,-19137.7734375,-21563.306477864582,857.0,1.0,1.0,1.0,0,,,0,,
2019,26000.0,2019-02-12 21:00:00,24269.24609375,2019-02-12 21:00:00,24085.416666666668,2019-02-13 12:00:00,22592.930257161457,2018-12-19 20:00:00,1730.75390625,1492.4864095052108,0.0,1.0,0.997,0.992,1,11.0,2615.0,2,24.0,1966.0
2020,47250.0,2020-02-07 21:00:00,77812.453125,2020-02-08 05:00:00,44971.875,2020-02-08 12:00:00,73544.4765625,2020-02-08 20:00:00,-30562.453125,-28572.6015625,-8.0,1.0,1.0,1.0,0,,,0,,
2021,45425.0,2021-01-03 16:00:00,61702.94140625,2021-01-14 01:00:00,39245.833333333336,2021-01-04 08:00:00,56923.725748697914,2021-01-14 14:00:00,-16277.94140625,-17677.89241536458,-249.0,1.0,1.0,1.0,0,,,0,,
2022,63525.0,2022-01-07 10:00:00,77833.09375,2021-11-13 06:00:00,57363.541666666664,2022-01-07 23:00:00,73802.96842447917,2021-11-13 23:00:00,-14308.09375,-16439.426757812507,1324.0,1.0,0.992,0.985,0,,,1,67.0,1577.0
2023,34350.0,2022-12-28 07:00:00,65622.8359375,2022-12-28 07:00:00,32496.875,2022-12-28 14:00:00,61506.98046875,2022-12-28 20:00:00,-31272.8359375,-29010.10546875,0.0,1.0,1.0,1.0,0,,,0,,
2024,44725.0,2023-12-06 18:00:00,81192.0859375,2023-12-06 21:00:00,41163.541666666664,2023-12-07 05:00:00,76897.55110677083,2023-12-07 11:00:00,-36467.0859375,-35734.009440104164,-3.0,1.0,0.985,0.975,22,3.0,416.0,2,90.0,413.0
2025,29900.0,2025-02-26 00:00:00,45954.34765625,2025-02-26 00:00:00,26600.0,2025-02-26 15:00:00,41974.975260416664,2025-02-26 15:00:00,-16054.34765625,-15374.975260416664,0.0,1.0,1.0,1.0,0,,,0,,
2026,61000.0,2025-12-09 21:00:00,101832.6171875,2025-12-09 23:00:00,54768.75,2025-12-10 10:00:00,97674.93001302083,2025-12-12 06:00:00,-40832.6171875,-42906.18001302083,-2.0,1.0,1.0,1.0,0,,,0,,
