predictor,slope,intercept,r2,se,n
dS_1day_cfs,-0.7990059537429162,-4211.930520632233,0.8657455793711846,5642.08413903114,17
dS_2day_cfs,-0.9080558225241796,-4012.2277216205466,0.8717197374666119,5515.122725813916,17
dS_3day_cfs,-0.9789469708454683,-5261.954335568009,0.8413283820170948,6133.733266303026,17
dS_4day_cfs,-1.1455504526282927,-5175.564045574734,0.8297168099463998,6354.2039443403855,17
