WY,reg_peak,reg_peak_source,dS_2day_cfs,predicted_reg_minus_unreg,unreg_peak_est,se_cfs
1993,14100.0,hourly_1hr_max,17025.754489887986,-19472.563219030526,33572.563219030526,5515.122725813916
1994,17300.0,hourly_1hr_max,4471.836826674319,-8072.905189460213,25372.905189460213,5515.122725813916
1995,47350.0,hourly_1hr_max,14674.875319210776,-17337.83370004627,64687.83370004627,5515.122725813916
1996,111250.0,hourly_1hr_max,67145.20409664602,-64983.82125615436,176233.82125615436,5515.122725813916
1998,30550.0,hourly_1hr_max,5133.14595407902,-8673.410793088435,39223.410793088435,5515.122725813916
2000,41375.0,hourly_1hr_max,30090.421441459566,-31336.010113744323,72711.01011374433,5515.122725813916
2002,50875.0,hourly_1hr_max,11701.443642499633,-14637.791753130881,65512.79175313088,5515.122725813916
2005,29450.0,hourly_1hr_max,17297.38466322156,-19719.21857949933,49169.21857949933,5515.122725813916
2007,76975.0,hourly_1hr_max,42910.012343745926,-42976.914274943454,119951.91427494345,5515.122725813916
