event,start,end,water_year,hours,peak_inflow_cfs,start_elev_obs_ft,start_elev_rulecurve_ft,elev_offset_day1_ft,storage_rise_acft,max_elev_shifted_ft,hours_above_max_pool,special_release,first_special_release,hours_in_special,peak_release_shifted_cfs,peak_release_observed_cfs,special_release_observed,local_available_pct,peak_downstream_cfs,max_release_24hr_acft,max_downstream_24hr_acft,downstream_24hr_at_peak_release_acft,max_release_minus_downstream_acft,exceeds_downstream,hours_exceeding_downstream,exceeds_downstream_alt,is_annual_max
27,2020-01-05,2020-01-10 23:00:00,2020,144,14565.51,736.95,745.50,8.55,45627.68,750.07,0,False,,0,0.00,0.00,False,100.00,33953.03,0.00,59719.50,28376.12,-28181.55,False,0,False,True
28,2021-01-11,2021-01-15 23:00:00,2021,120,38943.59,738.51,745.50,6.99,86086.19,753.95,0,False,,0,0.00,0.00,False,100.00,27458.59,0.00,51415.15,29351.35,-29300.49,False,0,False,True
29,2021-02-21,2021-02-24 23:00:00,2021,96,11294.15,717.82,751.09,33.27,26121.99,753.58,0,False,,0,0.00,0.00,False,100.00,27469.66,0.00,47632.92,17119.88,-17119.88,False,0,False,False
30,2021-11-11,2021-11-14 23:00:00,2022,96,48807.68,731.27,756.22,24.95,135164.74,768.69,0,True,2021-11-14 00:00:00,3,142.53,0.00,False,100.00,35036.61,13.42,64202.50,49235.71,-25509.26,False,0,False,True
31,2022-01-06,2022-01-08 23:00:00,2022,72,24459.25,733.26,745.50,12.24,32751.26,748.79,0,False,,0,0.00,0.00,False,100.00,31528.34,0.00,56318.24,22637.97,-22637.97,False,0,False,False
32,2022-01-11,2022-01-13 23:00:00,2022,72,22779.68,739.78,745.50,5.72,36012.16,749.12,0,False,,0,0.00,0.00,False,100.00,30388.79,0.00,53797.07,33496.20,-33496.20,False,0,False,False
33,2022-11-04,2022-11-06 23:00:00,2023,72,30314.94,709.51,760.01,50.50,28915.11,762.64,0,False,,0,0.00,0.00,False,100.00,31813.77,0.00,46867.66,8098.19,-8098.19,False,0,False,False
34,2022-12-24,2022-12-28 23:00:00,2023,120,40841.68,676.54,745.50,68.96,160229.14,761.01,0,False,,0,0.00,0.00,False,100.00,17793.34,0.00,33150.13,22248.93,-20344.63,False,0,False,True
35,2023-12-02,2023-12-10 23:00:00,2024,216,41909.67,700.83,745.50,44.67,257746.02,769.86,0,False,,0,0.00,0.00,False,100.00,26267.40,0.00,50139.53,14653.42,-14653.42,False,0,False,True
36,2025-02-22,2025-02-27 23:00:00,2025,144,16425.53,708.79,751.37,42.58,109639.86,761.77,0,False,,0,0.00,0.00,False,100.00,14466.79,0.00,26093.91,14637.51,-14462.14,False,0,False,True
37,2025-12-07,2025-12-12 23:00:00,2026,144,80886.88,725.00,745.50,20.50,331389.87,776.21,0,True,2025-12-09 13:00:00,83,45627.50,660.70,True,100.00,48406.76,73721.90,80725.31,62283.11,11438.79,True,16,True,True
38,2026-03-10,2026-03-15 23:00:00,2026,144,39102.64,742.13,755.85,13.72,159533.06,770.53,0,True,2026-03-14 05:00:00,12,213.82,0.00,False,100.00,27326.55,75.34,50764.54,50712.02,-18240.58,False,0,False,False
