WY,usgs,wcm,obs,delta_wcm_minus_obs,adjusted_peak,adjusted,screen_passed,spread_days,t_usgs,t_wcm,t_obs,low_peak_year,decision,unreg_event,t_unreg_event,unreg_wy_max,t_unreg_wy,unreg_ref,unreg_source,adj_minus_unreg,usgs_minus_unreg,adj_over_unreg,adj_over_unreg_at_flood,usgs_over_unreg,adj_unreg_ratio,unreg_check
1990,89200.0,84638.7,83907.0,731.7,89931.7,True,True,0.0,1990-01-09,1990-01-09,1990-01-09,False,adjusted +732 cfs,130042.9,1990-01-09,130042.9,1990-01-09,130042.9,ressim_unreg_por,-40111.1,-40842.9,False,False,False,0.7,ok: adjusted 89932 <= unreg 130043
1991,76000.0,62368.5,61083.0,1285.5,77285.5,True,True,0.0,1990-11-25,1990-11-25,1990-11-25,False,adjusted +1285 cfs,108150.0,1990-11-25,108150.0,1990-11-25,108150.0,ressim_unreg_por,-30864.5,-32150.0,False,False,False,0.7,ok: adjusted 77285 <= unreg 108150
1992,27000.0,35102.4,21102.0,14000.4,41000.4,True,True,0.0,1992-01-29,1992-01-29,1992-01-29,False,adjusted +14000 cfs,45876.0,1992-01-29,45876.0,1992-01-29,45876.0,ressim_unreg_por,-4875.6,-18876.0,False,False,False,0.9,ok: adjusted 41000 <= unreg 45876
1993,14700.0,25147.2,11147.6,13999.7,28699.7,True,True,0.0,1993-03-23,1993-03-23,1993-03-23,True,adjusted +14000 cfs,34176.4,1993-03-24,34176.4,1993-03-24,34176.4,ressim_unreg_por,-5476.8,-19476.4,False,False,False,0.8,ok: adjusted 28700 <= unreg 34176
1994,17300.0,,,,17300.0,False,False,,1994-01-14,,,True,no adjustment: no simulated data within 3 days of the observed peak 1994-01-14 -- the Obs_RC window does not cover this storm,16210.1,1994-01-13,29902.4,1994-03-04,16210.1,ressim_unreg_por,1089.9,1089.9,True,False,True,1.1,"adjusted 17300 exceeds unreg 16210 by 1090 cfs, but the unreg peak is below 20000 cfs -- consistent with minimum release or refill drawdown"
1995,47500.0,,,,47500.0,False,False,,1995-02-19,,,False,no adjustment: no simulated data within 3 days of the observed peak 1995-02-19 -- the Obs_RC window does not cover this storm,65354.0,1995-02-20,65529.1,1994-12-27,65354.0,ressim_unreg_por,-17854.0,-17854.0,False,False,False,0.7,ok: adjusted 47500 <= unreg 65354
1996,112000.0,132171.8,108967.0,23204.8,135204.8,True,True,1.0,1996-02-08,1996-02-09,1996-02-09,False,adjusted +23205 cfs,212245.8,1996-02-09,212245.8,1996-02-09,212245.8,ressim_unreg_por,-77040.9,-100245.8,False,False,False,0.6,ok: adjusted 135205 <= unreg 212246
1997,56700.0,54439.1,52635.8,1803.2,58503.2,True,True,1.0,1996-12-29,1996-12-30,1996-12-30,False,adjusted +1803 cfs,90905.9,1997-01-01,90905.9,1997-01-01,90905.9,ressim_unreg_por,-32402.7,-34205.9,False,False,False,0.6,ok: adjusted 58503 <= unreg 90906
1998,30800.0,28784.2,28784.2,0.0,30800.0,False,True,1.0,1998-01-14,1998-01-15,1998-01-15,False,no adjustment: difference below 1 cfs,28784.2,1998-01-15,39508.1,1997-10-31,28784.2,ressim_unreg_por,2015.8,2015.8,True,True,True,1.1,"*** adjusted 30800 EXCEEDS unreg 28784 by 2016 cfs (7.0%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
1999,57600.0,53768.3,50442.5,3325.9,60925.9,True,True,0.0,1998-11-26,1998-11-26,1998-11-26,False,adjusted +3326 cfs,75901.2,1998-11-26,75901.2,1998-11-26,75901.2,ressim_unreg_por,-14975.3,-18301.2,False,False,False,0.8,ok: adjusted 60926 <= unreg 75901
2000,41700.0,49781.8,35781.9,13999.8,55699.8,True,True,1.0,1999-11-25,1999-11-26,1999-11-26,False,adjusted +14000 cfs,82448.6,1999-11-26,82448.6,1999-11-26,82448.6,ressim_unreg_por,-26748.8,-40748.6,False,False,False,0.7,ok: adjusted 55700 <= unreg 82449
2001,11600.0,,,,11600.0,False,False,,2000-11-27,,,True,no adjustment: no simulated data within 3 days of the observed peak 2000-11-27 -- the Obs_RC window does not cover this storm,6637.9,2000-11-27,16366.8,2001-05-01,6637.9,ressim_unreg_por,4962.1,4962.1,True,False,True,1.7,"adjusted 11600 exceeds unreg 6638 by 4962 cfs, but the unreg peak is below 20000 cfs -- consistent with minimum release or refill drawdown"
2002,51400.0,53728.2,45573.3,8154.9,59554.9,True,True,0.0,2001-12-17,2001-12-17,2001-12-17,False,adjusted +8155 cfs,67900.0,2001-12-17,79466.2,2002-01-08,67900.0,ressim_unreg_por,-8345.0,-16500.0,False,False,False,0.9,ok: adjusted 59555 <= unreg 67900
2003,69000.0,62340.5,62077.2,263.3,69263.3,True,True,1.0,2003-01-31,2003-02-01,2003-02-01,False,adjusted +263 cfs,119348.2,2003-02-01,119348.2,2003-02-01,119348.2,ressim_unreg_por,-50084.9,-50348.2,False,False,False,0.6,ok: adjusted 69263 <= unreg 119348
2004,38100.0,48301.2,34301.6,13999.6,52099.6,True,True,0.0,2004-01-30,2004-01-30,2004-01-30,False,adjusted +14000 cfs,59490.8,2004-01-30,59490.8,2004-01-30,59490.8,ressim_unreg_por,-7391.2,-21390.8,False,False,False,0.9,ok: adjusted 52100 <= unreg 59491
2005,29600.0,40940.4,26911.5,14028.9,43628.9,True,True,1.0,2005-01-18,2005-01-18,2005-01-18,False,adjusted +14029 cfs,58455.5,2005-01-18,58455.5,2005-01-18,58455.5,ressim_unreg_por,-14826.6,-28855.5,False,False,False,0.7,ok: adjusted 43629 <= unreg 58455
2006,56200.0,,,,56200.0,False,False,,2006-01-30,,,False,no adjustment: no simulated data within 3 days of the observed peak 2006-01-30 -- the Obs_RC window does not cover this storm,55789.4,2006-01-30,80138.2,2006-01-11,55789.4,ressim_unreg_por,410.6,410.6,True,True,True,1.0,"*** adjusted 56200 EXCEEDS unreg 55789 by 411 cfs (0.7%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
2007,77300.0,94856.7,70843.7,24013.0,101313.0,True,True,1.0,2006-11-07,2006-11-08,2006-11-07,False,adjusted +24013 cfs,155017.6,2006-11-07,155017.6,2006-11-07,155017.6,ressim_unreg_por,-53704.5,-77717.6,False,False,False,0.7,ok: adjusted 101313 <= unreg 155018
2008,64300.0,61128.6,60052.6,1076.1,65376.1,True,True,1.0,2007-12-03,2007-12-04,2007-12-04,False,adjusted +1076 cfs,89748.5,2007-12-04,89748.5,2007-12-04,89748.5,ressim_unreg_por,-24372.5,-25448.5,False,False,False,0.7,ok: adjusted 65376 <= unreg 89749
2009,106000.0,81855.3,81470.0,385.4,106385.4,True,True,0.0,2009-01-08,2009-01-08,2009-01-08,False,adjusted +385 cfs,143468.0,2009-01-08,143468.0,2009-01-08,143468.0,ressim_unreg_por,-37082.7,-37468.0,False,False,False,0.7,ok: adjusted 106385 <= unreg 143468
2010,20900.0,26301.6,15335.3,10966.3,31866.3,True,True,1.0,2009-11-19,2009-11-20,2009-11-20,False,adjusted +10966 cfs,23432.1,2009-11-20,26910.6,2010-06-03,23432.1,ressim_unreg_por,8434.2,-2532.1,True,True,False,1.4,"*** adjusted 31866 EXCEEDS unreg 23432 by 8434 cfs (36.0%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
2011,45300.0,44599.0,30599.0,14000.0,59300.0,True,True,1.0,2011-01-16,2011-01-17,2011-01-17,False,adjusted +14000 cfs,85794.1,2011-01-17,85794.1,2011-01-17,85794.1,ressim_unreg_por,-26494.1,-40494.1,False,False,False,0.7,ok: adjusted 59300 <= unreg 85794
2012,36900.0,38919.9,24920.7,13999.2,50899.2,True,True,0.0,2011-11-23,2011-11-23,2011-11-23,False,adjusted +13999 cfs,46709.2,2011-11-23,46709.2,2011-11-23,46709.2,ressim_unreg_por,4190.0,-9809.2,True,True,False,1.1,"*** adjusted 50899 EXCEEDS unreg 46709 by 4190 cfs (9.0%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
2013,47000.0,51961.0,37703.9,14257.0,61257.0,True,True,1.0,2012-11-19,2012-11-20,2012-11-20,False,adjusted +14257 cfs,57713.5,2012-11-20,57713.5,2012-11-20,57713.5,ressim_unreg_por,3543.5,-10713.5,True,True,False,1.1,"*** adjusted 61257 EXCEEDS unreg 57714 by 3544 cfs (6.1%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
2014,32300.0,43271.4,29271.4,14000.0,46300.0,True,True,1.0,2014-03-06,2014-03-07,2014-03-07,False,adjusted +14000 cfs,58808.3,2014-03-07,58808.3,2014-03-07,58808.3,ressim_unreg_por,-12508.4,-26508.3,False,False,False,0.8,ok: adjusted 46300 <= unreg 58808
2015,38500.0,45556.0,31552.1,14004.0,52504.0,True,True,0.0,2015-01-05,2015-01-05,2015-01-05,False,adjusted +14004 cfs,46094.1,2015-01-06,46094.1,2015-01-06,46094.1,ressim_unreg_por,6409.9,-7594.1,True,True,False,1.1,"*** adjusted 52504 EXCEEDS unreg 46094 by 6410 cfs (13.9%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
2016,83700.0,80999.7,80324.4,675.3,84375.3,True,True,0.0,2015-12-09,2015-12-09,2015-12-09,False,adjusted +675 cfs,152270.0,2015-12-09,152270.0,2015-12-09,152270.0,ressim_unreg_por,-67894.6,-68570.0,False,False,False,0.6,ok: adjusted 84375 <= unreg 152270
2017,40000.0,51716.0,39201.1,12514.9,52514.9,True,True,1.0,2017-02-09,2017-02-10,2017-02-10,False,adjusted +12515 cfs,56163.9,2017-02-10,68453.0,2017-03-16,56163.9,ressim_unreg_por,-3649.0,-16163.9,False,False,False,0.9,ok: adjusted 52515 <= unreg 56164
2018,35100.0,45513.8,31517.5,13996.3,49096.3,True,True,0.0,2017-12-30,2017-12-30,2017-12-30,False,adjusted +13996 cfs,54858.2,2017-12-30,57093.4,2017-11-24,54858.2,ressim_unreg_por,-5761.9,-19758.2,False,False,False,0.9,ok: adjusted 49096 <= unreg 54858
2019,26000.0,,,,26000.0,False,False,,2019-02-12,,,False,no adjustment: no simulated data within 3 days of the observed peak 2019-02-12 -- the Obs_RC window does not cover this storm,25055.6,2019-02-12,27214.7,2019-04-12,25055.6,ressim_unreg_por,944.4,944.4,True,True,True,1.0,"*** adjusted 26000 EXCEEDS unreg 25056 by 944 cfs (3.8%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
2020,47400.0,51579.6,51579.6,0.0,47400.0,False,True,1.0,2020-02-07,2020-02-08,2020-02-08,False,no adjustment: difference below 1 cfs,77812.5,2020-02-08,77812.5,2020-02-08,77812.5,ressim_unreg_por,-30412.5,-30412.5,False,False,False,0.6,ok: adjusted 47400 <= unreg 77813
2021,45600.0,50962.7,42649.7,8313.0,53913.0,True,True,2.0,2021-01-03,2021-01-03,2021-01-04,False,adjusted +8313 cfs,50995.8,2021-01-03,68323.8,2021-01-13,50995.8,ressim_unreg_por,2917.2,-5395.8,True,True,False,1.1,"*** adjusted 53913 EXCEEDS unreg 50996 by 2917 cfs (5.7%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
2022,63900.0,62386.7,61747.3,639.4,64539.4,True,True,1.0,2022-01-07,2022-01-07,2022-01-07,False,adjusted +639 cfs,79833.7,2022-01-07,87325.7,2022-03-01,79833.7,ressim_unreg_por,-15294.3,-15933.7,False,False,False,0.8,ok: adjusted 64539 <= unreg 79834
2023,34400.0,44818.7,30825.6,13993.0,48393.0,True,True,0.0,2022-12-27,2022-12-27,2022-12-27,False,adjusted +13993 cfs,69113.3,2022-12-28,69113.3,2022-12-28,69113.3,ressim_unreg_por,-20720.2,-34713.3,False,False,False,0.7,ok: adjusted 48393 <= unreg 69113
2024,44800.0,52638.3,42979.4,9658.9,54458.9,True,True,1.0,2023-12-06,2023-12-07,2023-12-06,False,adjusted +9659 cfs,87399.3,2023-12-06,87399.3,2023-12-06,87399.3,ressim_unreg_por,-32940.4,-42599.3,False,False,False,0.6,ok: adjusted 54459 <= unreg 87399
