subset,duration,column,duration_days,first_wy,last_wy,n,pearson_r,r2,p_value,spearman_rho,kendall_tau,slope,intercept,slope_stderr,se_estimate_cfs,log_r2,log_exponent_b,log_coeff_a,log_se,mean_reg_over_unreg
all_available,Unreg Peak (1-hr),unreg_peak_1hr,0.041666666666666664,1992,2024,21,0.9286137248789217,0.8623234500335056,1.2733238081168372e-09,0.8532467532467533,0.6666666666666667,0.6220847301391786,3020.275515742869,0.05702530669537963,7811.412870490729,0.8081508915474349,0.8252230267016369,4.6598474825969145,0.07766886848213757,0.6805282947955057
all_available,Unreg 1-Day,One_day,1.0,1974,2024,50,0.900625765562818,0.811126769595612,5.377774098583882e-19,0.8740185841314959,0.717027417881537,0.6173852680613955,7328.756666715126,0.04300079455231977,10370.299504163475,0.8322247358176179,0.8879151000320599,2.5062571053798908,0.09372481525774379,0.7449487044796693
all_available,Unreg 3-Day,Three_Day,3.0,1974,2024,50,0.9074536014804824,0.8234720388398982,1.0541782070120067e-19,0.8989411513071591,0.7333606164665378,0.8186361188264883,5339.891138826053,0.05470822286963996,10025.657127342343,0.8332271247005946,0.9477864951772261,1.6011225753906724,0.09344441200394565,0.9314107680182405
all_available,Unreg 5-Day,Five_Day,5.0,1974,2024,50,0.8887224940107528,0.7898276713606924,7.076551825809183e-18,0.8828543304904978,0.7055941788720365,1.0502982867527495,2413.095157101736,0.07820123898981705,10939.409084178187,0.8202360445678203,1.0299093935907706,0.7841887335155325,0.09701568068412025,1.1037243814495223
common_years,Unreg Peak (1-hr),unreg_peak_1hr,0.041666666666666664,1992,2024,21,0.9286137248789217,0.8623234500335056,1.2733238081168372e-09,0.8532467532467533,0.6666666666666667,0.6220847301391786,3020.275515742869,0.05702530669537963,7811.412870490729,0.8081508915474349,0.8252230267016369,4.6598474825969145,0.07766886848213757,0.6805282947955057
common_years,Unreg 1-Day,One_day,1.0,1992,2024,21,0.8576720769100804,0.7356013915112509,6.727066552094074e-07,0.7532467532467532,0.6095238095238096,0.5843195379318061,7576.694477330981,0.08036777022247105,10825.031986027561,0.7145892315361949,0.7639723318020948,9.544525175827234,0.09473321207453866,0.7189809553450397
common_years,Unreg 3-Day,Three_Day,3.0,1992,2024,21,0.897583662626701,0.8056564314143634,3.4699817575736425e-08,0.851948051948052,0.6857142857142857,0.9303358100678384,-2510.3060730961806,0.10482698256387153,9280.784581073909,0.7908100923761275,0.948224392728991,1.5298015446333648,0.08110309907656056,0.8867061192979167
common_years,Unreg 5-Day,Five_Day,5.0,1992,2024,21,0.814820057867091,0.6639317267025295,6.8690867555195255e-06,0.7961038961038961,0.6095238095238096,1.1483239996822883,-4062.1597844565767,0.18743025118353568,12204.313721985216,0.6903073478620941,1.0039848125043596,0.9876792420677678,0.098680771491199,1.0549186024201498
