member,ensemble_f_part,water_year,real_start,real_end,ensemble_start,hours,offset_hours_to_real,coverage_pct
59,C:000059|WCM_RC,1987,1986-10-01,1987-05-02,1999-10-01,5113,0,100.0
60,C:000060|WCM_RC,1988,1987-10-01,1988-05-01,1999-10-01,5113,0,100.0
61,C:000061|WCM_RC,1989,1988-10-01,1989-05-02,1999-10-01,5113,0,100.0
62,C:000062|WCM_RC,1990,1989-10-01,1990-05-02,1999-10-01,5113,0,100.0
63,C:000063|WCM_RC,1991,1990-10-01,1991-05-02,1999-10-01,5113,0,100.0
64,C:000064|WCM_RC,1992,1991-10-01,1992-05-01,1999-10-01,5113,0,100.0
65,C:000065|WCM_RC,1993,1992-10-01,1993-05-02,1999-10-01,5113,0,100.0
66,C:000066|WCM_RC,1994,1993-10-01,1994-05-02,1999-10-01,5113,0,100.0
67,C:000067|WCM_RC,1995,1994-10-01,1995-05-02,1999-10-01,5113,0,100.0
68,C:000068|WCM_RC,1996,1995-10-01,1996-05-01,1999-10-01,5113,0,100.0
69,C:000069|WCM_RC,1997,1996-10-01,1997-05-02,1999-10-01,5113,0,100.0
70,C:000070|WCM_RC,1998,1997-10-01,1998-05-02,1999-10-01,5113,0,100.0
71,C:000071|WCM_RC,1999,1998-10-01,1999-05-02,1999-10-01,5113,0,100.0
72,C:000072|WCM_RC,2000,1999-10-01,2000-05-01,1999-10-01,5113,0,100.0
73,C:000073|WCM_RC,2001,2000-10-01,2001-05-02,1999-10-01,5113,0,100.0
74,C:000074|WCM_RC,2002,2001-10-01,2002-05-02,1999-10-01,5113,0,100.0
75,C:000075|WCM_RC,2003,2002-10-01,2003-05-02,1999-10-01,5113,0,100.0
76,C:000076|WCM_RC,2004,2003-10-01,2004-05-01,1999-10-01,5113,0,100.0
77,C:000077|WCM_RC,2005,2004-10-01,2005-05-02,1999-10-01,5113,0,100.0
78,C:000078|WCM_RC,2006,2005-10-01,2006-05-02,1999-10-01,5113,0,100.0
79,C:000079|WCM_RC,2007,2006-10-01,2007-05-02,1999-10-01,5113,0,100.0
80,C:000080|WCM_RC,2008,2007-10-01,2008-05-01,1999-10-01,5113,0,100.0
81,C:000081|WCM_RC,2009,2008-10-01,2009-05-02,1999-10-01,5113,0,100.0
82,C:000082|WCM_RC,2010,2009-10-01,2010-05-02,1999-10-01,5113,0,100.0
83,C:000083|WCM_RC,2011,2010-10-01,2011-05-02,1999-10-01,5113,0,100.0
84,C:000084|WCM_RC,2012,2011-10-01,2012-05-01,1999-10-01,5113,0,100.0
85,C:000085|WCM_RC,2013,2012-10-01,2013-05-02,1999-10-01,5113,0,100.0
86,C:000086|WCM_RC,2014,2013-10-01,2014-05-02,1999-10-01,5113,0,100.0
87,C:000087|WCM_RC,2015,2014-10-01,2015-05-02,1999-10-01,5113,0,100.0
88,C:000088|WCM_RC,2016,2015-10-01,2016-05-01,1999-10-01,5113,0,100.0
89,C:000089|WCM_RC,2017,2016-10-01,2017-05-02,1999-10-01,5113,0,100.0
90,C:000090|WCM_RC,2018,2017-10-01,2018-05-02,1999-10-01,5113,0,100.0
91,C:000091|WCM_RC,2019,2018-10-01,2019-05-02,1999-10-01,5113,0,99.43
92,C:000092|WCM_RC,2020,2019-10-01,2020-05-01,1999-10-01,5113,0,99.35
93,C:000093|WCM_RC,2021,2020-10-01,2021-05-02,1999-10-01,5113,0,99.73
94,C:000094|WCM_RC,2022,2021-10-01,2022-05-02,1999-10-01,5113,0,99.37
95,C:000095|WCM_RC,2023,2022-10-01,2023-05-02,1999-10-01,5113,0,99.45
96,C:000096|WCM_RC,2024,2023-10-01,2024-05-01,1999-10-01,5113,0,98.57
97,C:000097|WCM_RC,2025,2024-10-01,2025-05-02,1999-10-01,5113,0,98.08
98,C:000098|WCM_RC,2026,2025-10-01,2026-05-02,1999-10-01,5113,0,99.92
