member,ensemble_f_part,water_year,real_start,real_end,ensemble_start,hours,elev_real_start,elev_ensemble_start,elev_hours,peak_time,peak_cfs,lead_hours,clamped,start_pool_ft,start_rulecurve_ft,start_pool_minus_rc_ft
27,C:000027|,2000,1999-11-24 10:00:00,1999-12-25 09:00:00,1999-10-01,744,1999-11-23 10:00:00,1999-09-30,768,1999-11-27 04:00:00,56315.1,66,none,741.37,749.0,-7.63
28,C:000028|,2001,2001-04-24 17:00:00,2001-05-25 16:00:00,1999-10-01,744,2001-04-23 17:00:00,1999-09-30,768,2001-05-02 17:00:00,15588.7,192,none,677.08,768.33,-91.25
29,C:000029|,2002,2001-12-13 04:00:00,2002-01-13 03:00:00,1999-10-01,744,2001-12-12 04:00:00,1999-09-30,768,2001-12-17 20:00:00,60018.4,112,none,734.64,745.5,-10.86
30,C:000030|,2003,2003-01-23 02:00:00,2003-02-23 01:00:00,1999-10-01,744,2003-01-22 02:00:00,1999-09-30,768,2003-02-01 13:00:00,86686.7,227,none,737.73,745.5,-7.77
31,C:000031|,2004,2004-01-23 23:00:00,2004-02-23 22:00:00,1999-10-01,744,2004-01-22 23:00:00,1999-09-30,768,2004-01-31 01:00:00,47291.6,170,none,735.7,745.5,-9.8
32,C:000032|,2005,2005-01-17 13:00:00,2005-02-17 12:00:00,1999-10-01,744,2005-01-16 13:00:00,1999-09-30,768,2005-01-19 11:00:00,37413.6,46,none,732.18,745.5,-13.32
33,C:000033|,2006,2006-01-06 15:00:00,2006-02-06 14:00:00,1999-10-01,744,2006-01-05 15:00:00,1999-09-30,768,2006-01-11 20:00:00,65061.9,125,none,734.67,745.5,-10.83
34,C:000034|,2007,2006-11-04 05:00:00,2006-12-05 04:00:00,1999-10-01,744,2006-11-03 05:00:00,1999-09-30,768,2006-11-08 10:00:00,107689.5,101,none,737.16,759.76,-22.6
35,C:000035|,2008,2007-12-02 14:00:00,2008-01-02 13:00:00,1999-10-01,744,2007-12-01 14:00:00,1999-09-30,768,2007-12-04 11:00:00,67871.0,45,none,728.78,745.5,-16.72
36,C:000036|,2009,2008-12-28 02:00:00,2009-01-28 01:00:00,1999-10-01,744,2008-12-27 02:00:00,1999-09-30,768,2009-01-09 00:00:00,106659.0,286,none,711.12,745.5,-34.38
37,C:000037|,2010,2009-11-06 07:00:00,2009-12-07 06:00:00,1999-10-01,744,2009-11-05 07:00:00,1999-09-30,768,2009-11-20 08:00:00,24976.1,337,none,734.3,758.65,-24.35
38,C:000038|,2011,2011-01-12 21:00:00,2011-02-12 20:00:00,1999-10-01,744,2011-01-11 21:00:00,1999-09-30,768,2011-01-19 14:00:00,70999.1,161,none,731.14,745.5,-14.36
39,C:000039|,2012,2012-02-18 09:00:00,2012-03-20 08:00:00,1999-10-01,744,2012-02-17 09:00:00,1999-09-30,768,2012-02-24 22:00:00,41594.0,157,none,733.19,750.47,-17.28
40,C:000040|,2013,2012-11-17 16:00:00,2012-12-18 15:00:00,1999-10-01,744,2012-11-16 16:00:00,1999-09-30,768,2012-11-20 14:00:00,45456.5,70,none,742.83,752.6,-9.77
41,C:000041|,2014,2014-03-02 18:00:00,2014-04-02 17:00:00,1999-10-01,744,2014-03-01 18:00:00,1999-09-30,768,2014-03-10 04:00:00,51169.8,178,none,726.17,753.89,-27.72
42,C:000042|,2015,2015-01-04 07:00:00,2015-02-04 06:00:00,1999-10-01,744,2015-01-03 07:00:00,1999-09-30,768,2015-01-06 08:00:00,39566.3,49,none,738.22,745.5,-7.28
43,C:000043|,2016,2015-12-06 09:00:00,2016-01-06 08:00:00,1999-10-01,744,2015-12-05 09:00:00,1999-09-30,768,2015-12-10 00:00:00,109836.1,87,none,733.67,745.5,-11.83
44,C:000044|,2017,2017-03-08 02:00:00,2017-04-08 01:00:00,1999-10-01,744,2017-03-07 02:00:00,1999-09-30,768,2017-03-16 15:00:00,54361.5,205,none,725.54,755.34,-29.8
45,C:000045|,2018,2017-11-13 08:00:00,2017-12-14 07:00:00,1999-10-01,744,2017-11-12 08:00:00,1999-09-30,768,2017-11-24 22:00:00,44891.7,278,none,723.4,754.9,-31.5
46,C:000046|,2019,2018-12-09 17:00:00,2019-01-09 16:00:00,1999-10-01,744,2018-12-08 17:00:00,1999-09-30,768,2018-12-19 07:00:00,25519.6,230,none,707.63,745.5,-37.87
47,C:000047|,2020,2020-01-22 10:00:00,2020-02-22 09:00:00,1999-10-01,744,2020-01-21 10:00:00,1999-09-30,768,2020-02-08 16:00:00,61189.3,414,none,733.21,745.5,-12.29
48,C:000048|,2021,2020-12-30 17:00:00,2021-01-30 16:00:00,1999-10-01,744,2020-12-29 17:00:00,1999-09-30,768,2021-01-14 02:00:00,52011.6,345,none,733.06,745.5,-12.44
49,C:000049|,2022,2022-01-03 04:00:00,2022-02-03 03:00:00,1999-10-01,744,2022-01-02 04:00:00,1999-09-30,768,2022-01-07 18:00:00,68804.3,110,none,729.4,745.5,-16.1
50,C:000050|,2023,2022-12-23 23:00:00,2023-01-23 22:00:00,1999-10-01,744,2022-12-22 23:00:00,1999-09-30,768,2022-12-28 15:00:00,46978.4,112,none,676.95,745.5,-68.55
51,C:000051|,2024,2023-12-02 06:00:00,2024-01-02 05:00:00,1999-10-01,744,2023-12-01 06:00:00,1999-09-30,768,2023-12-07 06:00:00,65848.4,120,none,700.58,745.5,-44.92
52,C:000052|,2025,2025-02-19 11:00:00,2025-03-22 10:00:00,1999-10-01,744,2025-02-18 11:00:00,1999-09-30,768,2025-02-26 08:00:00,44562.2,165,none,706.54,750.81,-44.27
53,C:000053|,2026,2025-12-05 13:00:00,2026-01-05 12:00:00,1999-10-01,744,2025-12-04 13:00:00,1999-09-30,768,2025-12-12 11:00:00,95673.7,166,none,719.31,745.5,-26.19
