Datetime,FLOW-IN-CALC-CLEANED,FLOW-IN-CALC-CLEANED-VOLCOR,FLOW-IN-CALC-RAW-PEAKS
02Dec2025  2000,4588,4541,3667
02Dec2025  2100,4531,4485,4891
02Dec2025  2200,4475,4428,4892
02Dec2025  2300,4418,4372,5114
03Dec2025  0000,4361,4316,6204
03Dec2025  0100,4304,4260,5130
03Dec2025  0200,4248,4204,4496
03Dec2025  0300,4191,4147,2683
03Dec2025  0400,4134,4091,5130
03Dec2025  0500,4077,4035,3596
03Dec2025  0600,4020,3979,2447
03Dec2025  0700,3964,3923,4895
03Dec2025  0800,3907,3867,2448
03Dec2025  0900,3850,3810,3673
03Dec2025  1000,3815,3776,4899
03Dec2025  1100,3815,3776,4901
03Dec2025  1200,3815,3776,3676
03Dec2025  1300,3815,3776,3678
03Dec2025  1400,3815,3776,6618
03Dec2025  1500,3815,3776,4333
03Dec2025  1600,3815,3776,4214
03Dec2025  1700,3815,3776,3864
03Dec2025  1800,3815,3776,3754
03Dec2025  1900,3815,3776,1226
03Dec2025  2000,3815,3776,2452
03Dec2025  2100,3815,3776,3679
03Dec2025  2200,3815,3776,2453
03Dec2025  2300,3815,3776,4907
04Dec2025  0000,3815,3776,7027
04Dec2025  0100,3815,3776,3265
04Dec2025  0200,3815,3776,1920
04Dec2025  0300,3815,3776,4533
04Dec2025  0400,3815,3776,3387
04Dec2025  0500,3815,3776,2660
04Dec2025  0600,3815,3776,2453
04Dec2025  0700,3815,3776,6134
04Dec2025  0800,3815,3776,3681
04Dec2025  0900,3815,3776,2455
04Dec2025  1000,3815,3776,3684
04Dec2025  1100,3815,3776,3684
04Dec2025  1200,3815,3776,3685
04Dec2025  1300,3815,3776,3686
04Dec2025  1400,3815,3776,6718
04Dec2025  1500,3815,3776,4870
04Dec2025  1600,3815,3776,3271
04Dec2025  1700,3815,3776,4580
04Dec2025  1800,3815,3776,3322
04Dec2025  1900,3815,3776,4172
04Dec2025  2000,3815,3776,4081
04Dec2025  2100,3815,3776,100190
04Dec2025  2200,3815,3776,23938
04Dec2025  2300,3815,3776,4511
05Dec2025  0000,3815,3776,6430
05Dec2025  0100,3815,3776,4457
05Dec2025  0200,3815,3776,4501
05Dec2025  0300,3815,3776,3229
05Dec2025  0400,3815,3776,4509
05Dec2025  0500,3815,3776,3983
05Dec2025  0600,3815,3776,3556
05Dec2025  0700,3815,3776,3010
05Dec2025  0800,3815,3776,3604
05Dec2025  0900,3815,3776,4839
05Dec2025  1000,3816,3777,4491
05Dec2025  1100,3877,3837,3664
05Dec2025  1200,3937,3896,4217
05Dec2025  1300,3997,3956,4222
05Dec2025  1400,4057,4015,4045
05Dec2025  1500,4117,4075,5607
05Dec2025  1600,4178,4134,3054
05Dec2025  1700,4238,4194,4376
05Dec2025  1800,4298,4254,3204
05Dec2025  1900,4358,4313,3209
05Dec2025  2000,4418,4373,5574
05Dec2025  2100,4479,4432,2727
05Dec2025  2200,4539,4492,3172
05Dec2025  2300,4599,4552,5143
06Dec2025  0000,4659,4611,2361
06Dec2025  0100,4719,4671,4098
06Dec2025  0200,4780,4730,5804
06Dec2025  0300,4956,4904,5515
06Dec2025  0400,5503,5446,3246
06Dec2025  0500,5850,5790,6989
06Dec2025  0600,6198,6134,3592
06Dec2025  0700,6546,6478,6953
06Dec2025  0800,6870,6799,7563
06Dec2025  0900,7034,6961,4678
06Dec2025  1000,7197,7123,9382
06Dec2025  1100,7361,7285,5688
06Dec2025  1200,7525,7447,10510
06Dec2025  1300,7688,7609,7037
06Dec2025  1400,7852,7771,6413
06Dec2025  1500,8016,7933,9252
06Dec2025  1600,8179,8095,8256
06Dec2025  1700,8302,8216,7350
06Dec2025  1800,8379,8293,8906
06Dec2025  1900,8457,8369,8654
06Dec2025  2000,8534,8446,7510
06Dec2025  2100,8611,8522,9723
06Dec2025  2200,8689,8599,8697
06Dec2025  2300,8766,8675,9927
07Dec2025  0000,8843,8752,10850
07Dec2025  0100,8920,8828,10020
07Dec2025  0200,8998,8905,7586
07Dec2025  0300,9075,8981,10260
07Dec2025  0400,9152,9058,10260
07Dec2025  0500,9229,9134,9253
07Dec2025  0600,9307,9211,9094
07Dec2025  0700,9384,9287,11006
07Dec2025  0800,9461,9363,11247
07Dec2025  0900,9538,9440,9727
07Dec2025  1000,9616,9516,7894
07Dec2025  1100,9690,9590,10019
07Dec2025  1200,9749,9648,12455
07Dec2025  1300,9807,9706,11392
07Dec2025  1400,9866,9764,11394
07Dec2025  1500,9924,9822,8876
07Dec2025  1600,9982,9879,10048
07Dec2025  1700,10041,9937,11483
07Dec2025  1800,10099,9995,10527
07Dec2025  1900,10158,10053,10060
07Dec2025  2000,10216,10111,10274
07Dec2025  2100,10275,10169,11371
07Dec2025  2200,10333,10226,12472
07Dec2025  2300,10391,10284,11291
08Dec2025  0000,10450,10342,11654
08Dec2025  0100,10508,10400,10800
08Dec2025  0200,10567,10458,10970
08Dec2025  0300,10625,10515,10226
08Dec2025  0400,10684,10573,11230
08Dec2025  0500,11106,10991,9755
08Dec2025  0600,11602,11483,12249
08Dec2025  0700,12099,11974,11105
08Dec2025  0800,12596,12466,11105
08Dec2025  0900,13033,12899,13475
08Dec2025  1000,13451,13312,12291
08Dec2025  1100,13870,13726,12331
08Dec2025  1200,14288,14140,13598
08Dec2025  1300,14706,14554,12883
08Dec2025  1400,15124,14968,11669
08Dec2025  1500,15543,15382,13684
08Dec2025  1600,15961,15796,17274
08Dec2025  1700,16379,16210,12221
08Dec2025  1800,16831,16657,15989
08Dec2025  1900,17654,17472,13375
08Dec2025  2000,18477,18286,18278
08Dec2025  2100,19300,19101,13402
08Dec2025  2200,20123,19916,17019
08Dec2025  2300,20946,20730,20008
09Dec2025  0000,21770,21545,16840
09Dec2025  0100,22593,22359,17683
09Dec2025  0200,25937,25669,21802
09Dec2025  0300,29400,29096,19945
09Dec2025  0400,32862,32523,31241
09Dec2025  0500,36097,35724,34943
09Dec2025  0600,38978,38575,39789
09Dec2025  0700,41859,41426,38649
09Dec2025  0800,44739,44277,43755
09Dec2025  0900,46909,46424,42628
09Dec2025  1000,47555,47063,47784
09Dec2025  1100,48200,47702,44147
09Dec2025  1200,48846,48341,46810
09Dec2025  1300,49509,48997,46953
09Dec2025  1400,50224,49705,49648
09Dec2025  1500,50939,50413,47251
09Dec2025  1600,51379,50848,47396
09Dec2025  1700,51701,51167,44968
09Dec2025  1800,52022,51485,55426
09Dec2025  1900,52344,51803,50440
09Dec2025  2000,52666,52122,51904
09Dec2025  2100,52987,52440,49466
09Dec2025  2200,53309,52758,54857
09Dec2025  2300,53631,53077,51107
10Dec2025  0000,53952,53395,51274
10Dec2025  0100,54274,53713,55401
10Dec2025  0200,54605,54041,55595
10Dec2025  0300,56115,55535,57118
10Dec2025  0400,57624,57029,58656
10Dec2025  0500,58784,58176,64030
10Dec2025  0600,59534,58919,59993
10Dec2025  0700,60285,59662,61021
10Dec2025  0800,61035,60405,60807
10Dec2025  0900,61786,61148,62932
10Dec2025  1000,62037,61397,60906
10Dec2025  1100,62221,61578,58919
10Dec2025  1200,62404,61760,60290
10Dec2025  1300,62587,61941,64641
10Dec2025  1400,62771,62123,60740
10Dec2025  1500,62954,62304,63735
10Dec2025  1600,63202,62549,61190
10Dec2025  1700,63633,62975,62810
10Dec2025  1800,64063,63401,61636
10Dec2025  1900,64493,63827,64676
10Dec2025  2000,64924,64253,62093
10Dec2025  2100,65354,64679,65152
10Dec2025  2200,65980,65299,63973
10Dec2025  2300,67702,67003,65638
11Dec2025  0000,69424,68707,68754
11Dec2025  0100,71157,70422,69024
11Dec2025  0200,72995,72241,70740
11Dec2025  0300,74832,74060,72474
11Dec2025  0400,76670,75878,74227
11Dec2025  0500,78480,77669,74536
11Dec2025  0600,79130,78313,76316
11Dec2025  0700,79780,78956,76637
11Dec2025  0800,80431,79600,78446
11Dec2025  0900,81081,80243,78782
11Dec2025  1000,81731,80887,80616
11Dec2025  1100,80762,79928,79467
11Dec2025  1200,77583,76782,81317
11Dec2025  1300,74220,73454,67054
11Dec2025  1400,70564,69836,62333
11Dec2025  1500,66909,66218,63737
11Dec2025  1600,64573,63906,65412
11Dec2025  1700,62487,61841,62096
11Dec2025  1800,61439,60805,61047
11Dec2025  1900,60645,60018,61248
11Dec2025  2000,59850,59232,58972
11Dec2025  2100,59055,58445,59050
11Dec2025  2200,58260,57659,58017
11Dec2025  2300,57357,56764,61211
12Dec2025  0000,56409,55827,56297
12Dec2025  0100,55462,54889,57650
12Dec2025  0200,54514,53951,53907
12Dec2025  0300,53567,53014,51189
12Dec2025  0400,52619,52076,52566
12Dec2025  0500,51683,51149,52582
12Dec2025  0600,50857,50331,50999
12Dec2025  0700,50030,49514,49454
12Dec2025  0800,49204,48696,49355
12Dec2025  0900,48377,47878,48032
12Dec2025  1000,47551,47060,46911
12Dec2025  1100,46724,46242,45613
12Dec2025  1200,45898,45424,46172
12Dec2025  1300,45071,44606,43562
12Dec2025  1400,44245,43788,44422
12Dec2025  1500,43418,42970,42154
12Dec2025  1600,42592,42152,37256
12Dec2025  1700,41765,41334,44305
12Dec2025  1800,40984,40560,39257
12Dec2025  1900,40279,39863,39224
12Dec2025  2000,39575,39166,40120
12Dec2025  2100,38870,38469,38770
12Dec2025  2200,38166,37772,40031
12Dec2025  2300,37462,37075,38651
13Dec2025  0000,36757,36378,33616
13Dec2025  0100,36053,35681,35946
13Dec2025  0200,35349,34984,35596
13Dec2025  0300,34644,34286,33131
13Dec2025  0400,33940,33589,32798
13Dec2025  0500,33229,32886,31824
13Dec2025  0600,32484,32148,30460
13Dec2025  0700,31739,31411,31065
13Dec2025  0800,30994,30674,30104
13Dec2025  0900,30249,29936,31263
13Dec2025  1000,29504,29199,30019
13Dec2025  1100,28759,28462,30028
13Dec2025  1200,28014,27724,28673
13Dec2025  1300,27272,26991,27567
13Dec2025  1400,26726,26450,26735
13Dec2025  1500,26180,25909,28107
13Dec2025  1600,25633,25368,24794
13Dec2025  1700,25087,24828,26131
13Dec2025  1800,24541,24287,24766
13Dec2025  1900,23994,23746,24026
13Dec2025  2000,23448,23206,21434
13Dec2025  2100,22901,22665,21445
13Dec2025  2200,22447,22215,21594
13Dec2025  2300,22005,21778,21495
14Dec2025  0000,21564,21341,20349
14Dec2025  0100,21122,20904,22600
14Dec2025  0200,20681,20467,20099
14Dec2025  0300,20239,20030,21105
14Dec2025  0400,19798,19593,20635
14Dec2025  0500,19356,19156,16791
14Dec2025  0600,18915,18719,19281
14Dec2025  0700,18635,18443,19381
14Dec2025  0800,18422,18232,17024
14Dec2025  0900,18209,18021,15731
14Dec2025  1000,17996,17811,19662
14Dec2025  1100,17784,17600,19564
14Dec2025  1200,17571,17389,15564
14Dec2025  1300,17358,17179,14465
14Dec2025  1400,17145,16968,18382
14Dec2025  1500,16932,16757,17042
14Dec2025  1600,16719,16547,17043
14Dec2025  1700,16506,16336,17045
14Dec2025  1800,16294,16125,13273
14Dec2025  1900,16081,15915,14478
14Dec2025  2000,15868,15704,15779
14Dec2025  2100,15686,15524,15781
14Dec2025  2200,15541,15381,13226
14Dec2025  2300,15397,15238,15805
15Dec2025  0000,15252,15095,14611
15Dec2025  0100,15108,14952,14483
15Dec2025  0200,14963,14809,15623
15Dec2025  0300,14819,14666,13332
15Dec2025  0400,14674,14523,14590
15Dec2025  0500,14530,14380,13058
15Dec2025  0600,14385,14237,13082
15Dec2025  0700,14241,14094,13047
15Dec2025  0800,14113,13967,15608
15Dec2025  0900,14033,13888,13091
15Dec2025  1000,13954,13810,14380
15Dec2025  1100,13874,13731,11916
15Dec2025  1200,13795,13652,13203
15Dec2025  1300,13715,13574,13208
15Dec2025  1400,13636,13495,16974
15Dec2025  1500,13556,13416,11653
15Dec2025  1600,13477,13338,12987
15Dec2025  1700,13398,13259,11812
15Dec2025  1800,13351,13213,11816
15Dec2025  1900,13748,13606,14329
15Dec2025  2000,14145,13999,14382
15Dec2025  2100,14543,14392,10520
15Dec2025  2200,14940,14786,15196
15Dec2025  2300,15337,15179,12553
16Dec2025  0000,15735,15572,13924
16Dec2025  0100,16030,15865,14957
16Dec2025  0200,16322,16153,13988
16Dec2025  0300,16613,16442,17235
16Dec2025  0400,16905,16730,18920
16Dec2025  0500,17196,17018,16371
16Dec2025  0600,17487,17307,16323
16Dec2025  0700,17779,17595,19645
16Dec2025  0800,17985,17799,17666
16Dec2025  0900,18011,17825,19454
16Dec2025  1000,18038,17852,18706
16Dec2025  1100,18064,17878,18971
16Dec2025  1200,18091,17904,18883
16Dec2025  1300,18117,17930,17833
16Dec2025  1400,18144,17957,18123
16Dec2025  1500,18170,17983,17619
16Dec2025  1600,18064,17878,17621
16Dec2025  1700,17897,17712,17481
16Dec2025  1800,17730,17547,17531
16Dec2025  1900,17562,17381,16360
16Dec2025  2000,17395,17215,14910
16Dec2025  2100,17228,17050,17668
16Dec2025  2200,17060,16884,17495
16Dec2025  2300,16893,16719,16513
17Dec2025  0000,16726,16553,15194
17Dec2025  0100,16564,16393,17639
17Dec2025  0200,16873,16699,17549
17Dec2025  0300,17182,17004,15978
17Dec2025  0400,17491,17310,16381
17Dec2025  0500,17800,17616,16291
17Dec2025  0600,18135,17947,17612
17Dec2025  0700,18504,18313,18832
17Dec2025  0800,18873,18678,20101
17Dec2025  0900,19242,19043,16981
17Dec2025  1000,19610,19408,17260
17Dec2025  1100,19979,19773,23475
17Dec2025  1200,20348,20138,18609
17Dec2025  1300,21124,20906,21989
17Dec2025  1400,22846,22610,24219
17Dec2025  1500,24568,24314,27954
17Dec2025  1600,26290,26018,26628
17Dec2025  1700,28012,27722,31659
17Dec2025  1800,28568,28273,29231
17Dec2025  1900,28667,28371,24721
17Dec2025  2000,28766,28469,29151
17Dec2025  2100,28866,28567,25691
17Dec2025  2200,28726,28429,25952
17Dec2025  2300,28455,28161,29561
18Dec2025  0000,28184,27893,23900
18Dec2025  0100,27913,27625,28899
18Dec2025  0200,27642,27357,26309
18Dec2025  0300,27371,27089,26350
