Datetime,FLOW-IN-CALC-CLEANED,FLOW-IN-CALC-CLEANED-VOLCOR,FLOW-IN-CALC-RAW-PEAKS
04Nov2015  0000,8622,7168,3485
04Nov2015  0100,8534,7095,10148
04Nov2015  0200,8447,7023,5940
04Nov2015  0300,8359,6950,7225
04Nov2015  0400,8272,6877,9529
04Nov2015  0500,8184,6804,8023
04Nov2015  0600,8096,6731,9289
04Nov2015  0700,8009,6659,4102
04Nov2015  0800,7921,6586,6219
04Nov2015  0900,7834,6513,9645
04Nov2015  1000,7746,6440,11029
04Nov2015  1100,7679,6384,6897
04Nov2015  1200,7644,6355,4310
04Nov2015  1300,7609,6326,8320
04Nov2015  1400,7574,6297,4890
04Nov2015  1500,7539,6268,7110
04Nov2015  1600,7504,6239,8003
04Nov2015  1700,7469,6210,-413
04Nov2015  1800,7434,6181,8003
04Nov2015  1900,7399,6151,6372
04Nov2015  2000,7364,6122,2139
04Nov2015  2100,7329,6093,5984
04Nov2015  2200,7294,6064,4144
04Nov2015  2300,7259,6035,4146
05Nov2015  0000,7224,6006,210
05Nov2015  0100,7189,5977,4480
05Nov2015  0200,7154,5948,4140
05Nov2015  0300,7119,5919,8377
05Nov2015  0400,7084,5890,6905
05Nov2015  0500,7049,5861,6245
05Nov2015  0600,7014,5832,1384
05Nov2015  0700,6979,5803,4149
05Nov2015  0800,6944,5773,9686
05Nov2015  0900,6909,5744,2768
05Nov2015  1000,6874,5715,9694
05Nov2015  1100,6839,5686,0
05Nov2015  1200,6804,5657,11085
05Nov2015  1300,6769,5628,6930
05Nov2015  1400,6734,5599,4201
05Nov2015  1500,6699,5570,3600
05Nov2015  1600,6665,5541,5937
05Nov2015  1700,6630,5512,8172
05Nov2015  1800,6595,5483,945
05Nov2015  1900,6560,5454,3315
05Nov2015  2000,6525,5425,0
05Nov2015  2100,6490,5395,2774
05Nov2015  2200,6455,5366,9716
05Nov2015  2300,6420,5337,4205
06Nov2015  0000,6385,5308,5438
06Nov2015  0100,6350,5279,4720
06Nov2015  0200,6315,5250,7698
06Nov2015  0300,6280,5221,405
06Nov2015  0400,6245,5192,6867
