part_b,part_c,members_read,members_missing,start,end,valid_hours,gap_hours,min,max,overlaps,out_pathname
CASTLEROCK_NWS,FLOW,53,45,1928-10-01,1980-10-31 17:00:00,39114,417456,0.0,108966.9765625,0,//CASTLEROCK_NWS/FLOW//1HOUR/ResSim_WCM_RC/
MOSSYROCK-POOL,FLOW-OUT,53,45,1928-10-01,1980-10-31 17:00:00,39114,417456,0.0,60600.74609375,0,//MOSSYROCK-POOL/FLOW-OUT//1HOUR/ResSim_WCM_RC/
MOSSYROCK-POOL,FLOW-IN,53,45,1928-10-01,1980-10-31 17:00:00,39114,417456,0.0,108809.1796875,0,//MOSSYROCK-POOL/FLOW-IN//1HOUR/ResSim_WCM_RC/
CASTLEROCK_NWS,FLOW-LOCAL,53,45,1928-10-01,1980-10-31 17:00:00,39114,417456,0.0,108966.9765625,0,//CASTLEROCK_NWS/FLOW-LOCAL//1HOUR/ResSim_WCM_RC/
