WY,reg_peak,usgs_peak,adjustment,reg_peak_time,unreg_Peak_1-hr,unreg_Peak_1-hr_centre,unreg_Peak_1-hr_cov,unreg_Peak_1-hr_lag_hrs,unreg_1-Day,unreg_1-Day_centre,unreg_1-Day_cov,unreg_1-Day_lag_hrs,unreg_3-Day,unreg_3-Day_centre,unreg_3-Day_cov,unreg_3-Day_lag_hrs,unreg_5-Day,unreg_5-Day_centre,unreg_5-Day_cov,unreg_5-Day_lag_hrs,mb_One_day,mb_Three_Day,mb_Five_Day,mb_peak_1hr
1999,60925.90,57600.00,3325.90,1998-11-26,75901.16,1998-11-26 14:00:00,1.00,14.00,69600.81,1998-11-26 14:30:00,1.00,14.50,48257.13,1998-11-26 22:30:00,1.00,22.50,37631.46,1998-11-26 21:30:00,1.00,21.50,68599.99,60807.33,51701.59,76193.02
2000,55699.80,41700.00,13999.80,1999-11-25,82448.65,1999-11-26 17:00:00,1.00,41.00,77349.71,1999-11-26 13:30:00,1.00,37.50,60109.87,1999-11-26 22:30:00,1.00,46.50,45795.44,1999-11-27 12:30:00,1.00,60.50,72890.30,58189.72,43549.19,
2002,59554.90,51400.00,8154.90,2001-12-17,67899.98,2001-12-17 13:00:00,1.00,13.00,59846.93,2001-12-17 15:30:00,1.00,15.50,44810.06,2001-12-17 23:30:00,1.00,23.50,41523.32,2001-12-16 16:30:00,1.00,-7.50,64511.96,49168.12,40566.77,
2003,69263.30,69000.00,263.30,2003-01-31,119348.24,2003-02-01 04:00:00,1.00,28.00,106261.36,2003-02-01 06:30:00,1.00,30.50,75840.17,2003-02-01 17:30:00,1.00,41.50,56815.46,2003-02-02 09:30:00,1.00,57.50,87543.95,72895.90,53892.42,109719.30
2004,52099.60,38100.00,13999.60,2004-01-30,59490.75,2004-01-30 18:00:00,1.00,18.00,54793.81,2004-01-30 16:30:00,1.00,16.50,43505.20,2004-01-31 04:30:00,1.00,28.50,35728.55,2004-01-31 16:30:00,1.00,40.50,51472.13,43452.02,34949.40,56222.79
2005,43628.90,29600.00,14028.90,2005-01-18,58455.47,2005-01-18 22:00:00,1.00,22.00,55074.99,2005-01-19 01:30:00,1.00,25.50,41238.48,2005-01-19 19:30:00,1.00,43.50,33061.62,2005-01-20 15:30:00,1.00,63.50,50132.76,39348.60,31339.16,
2006,67052.90,56200.00,10852.90,2006-01-30,55789.38,2006-01-30 18:00:00,1.00,18.00,49285.74,2006-01-30 21:30:00,1.00,21.50,39800.93,2006-01-31 16:30:00,1.00,40.50,34854.23,2006-02-01 17:30:00,1.00,65.50,74081.96,62808.06,53944.85,
2007,101313.00,77300.00,24013.00,2006-11-07,155017.59,2006-11-07 20:00:00,1.00,20.00,144776.12,2006-11-07 18:30:00,1.00,18.50,104467.82,2006-11-08 05:30:00,1.00,29.50,78797.18,2006-11-09 03:30:00,1.00,51.50,147777.18,100469.89,73835.97,
2008,65376.10,64300.00,1076.10,2007-12-03,89748.51,2007-12-04 04:00:00,1.00,28.00,82484.04,2007-12-04 08:30:00,1.00,32.50,58222.60,2007-12-04 22:30:00,1.00,46.50,43775.51,2007-12-05 16:30:00,1.00,64.50,69271.81,54504.10,41445.98,72454.84
2009,106385.40,106000.00,385.40,2009-01-08,143468.02,2009-01-08 17:00:00,1.00,17.00,129051.32,2009-01-08 13:30:00,1.00,13.50,89343.51,2009-01-09 04:30:00,1.00,28.50,69000.11,2009-01-10 01:30:00,1.00,49.50,142171.10,99323.71,72961.00,151296.45
2010,31866.30,20900.00,10966.30,2009-11-19,23432.09,2009-11-20 01:00:00,1.00,25.00,21837.89,2009-11-20 01:30:00,1.00,25.50,20619.60,2009-11-19 23:30:00,1.00,23.50,19753.11,2009-11-21 01:30:00,1.00,49.50,28700.52,24887.61,23203.60,27801.54
2011,59300.00,45300.00,14000.00,2011-01-16,85794.08,2011-01-17 18:00:00,1.00,42.00,81169.88,2011-01-17 13:30:00,1.00,37.50,69361.95,2011-01-18 03:30:00,1.00,51.50,58499.14,2011-01-18 06:30:00,1.00,54.50,86106.09,71689.29,58118.34,87159.52
