water_year,peak_time,peak_cfs,inflow_peak_time,inflow_peak_cfs,reg_peak_lag_hours,base_time,base_cfs,trough_smoothed_cfs,base_threshold_cfs,lead_hours,clamped,mos_missing_hours,cas_missing_hours,elev_missing_hours,peak_in_window
1961,1960-11-25 12:00:00,60243.328125,1960-11-25 04:00:00,69730.595703125,8,1960-11-10 21:00:00,6644.110107421875,3447.4163208007812,6662.449541219075,351,none,0,0,25,True
1962,1961-12-25 19:00:00,36761.0625,1961-12-25 00:00:00,44093.33203125,19,1961-12-16 15:00:00,7150.0830078125,5329.024007161458,7243.595235188802,220,none,0,0,25,True
1963,1962-11-23 03:00:00,57385.46484375,1962-11-20 20:00:00,73064.2421875,55,1962-11-19 11:00:00,0.0,1.1711160006622474,3577.2259635209416,88,none,0,0,25,True
1964,1964-01-26 09:00:00,68241.9765625,1964-01-26 02:00:00,73745.416015625,7,1964-01-15 21:00:00,11280.54150390625,8238.908528645834,11413.599320475261,252,none,0,0,25,True
1965,1965-02-01 03:00:00,72648.3671875,1965-01-30 19:00:00,80589.51171875,32,1965-01-15 20:00:00,11537.89697265625,8047.208923339844,11514.859227498373,391,none,0,0,25,True
1966,1966-01-06 20:00:00,25893.47265625,1966-01-06 12:00:00,27546.857666015625,8,1965-12-26 15:00:00,4416.1588134765625,3266.3720092773438,4431.89692993164,269,none,0,0,25,True
1967,1966-12-14 09:00:00,52856.71875,1966-12-14 00:00:00,69971.05859375,9,1966-11-25 22:00:00,7993.775634765625,4967.111063639323,8081.104395548504,443,none,0,0,25,True
1968,1968-02-22 02:00:00,45929.69140625,1968-02-19 11:00:00,54562.490234375,63,1968-02-18 10:00:00,5903.8043212890625,6101.103363037109,8398.183945210774,88,none,0,0,25,True
1969,1969-01-07 17:00:00,36237.15625,1969-01-07 00:00:00,46421.802734375,17,1968-12-31 10:00:00,11060.242919921875,9461.321655273438,11154.298252360026,175,none,0,0,25,True
1970,1970-01-27 18:00:00,51142.76953125,1970-01-19 11:00:00,53719.607421875,199,1970-01-13 10:00:00,6459.5322265625,5740.740071614583,8061.413444010416,344,none,0,0,25,True
1971,1971-01-26 08:00:00,56356.1640625,1971-01-26 00:00:00,57475.33984375,8,1971-01-14 16:00:00,13389.38330078125,11286.668212890625,13538.988252766927,280,none,0,0,25,True
1972,1972-01-21 06:00:00,74266.265625,1972-01-20 23:00:00,95626.32421875,7,1972-01-16 08:00:00,12606.04248046875,8689.46962483724,12788.778020222982,118,none,0,0,25,True
1973,1972-12-27 08:00:00,53354.96875,1972-12-27 11:00:00,52824.2919921875,-3,1972-12-16 02:00:00,7143.151611328125,4885.857849121094,7258.707018025716,270,none,0,0,25,True
1974,1974-01-19 08:00:00,58506.015625,1974-01-16 10:00:00,82469.251953125,70,1974-01-13 20:00:00,13313.0673828125,9676.387736002604,13200.662559509277,132,none,0,0,0,True
1975,1975-01-14 23:00:00,65453.7265625,1975-01-14 15:00:00,75800.75390625,8,1975-01-12 13:00:00,12477.33544921875,9540.403930664062,12763.01381225586,58,none,0,0,0,True
1976,1975-12-05 06:00:00,102518.359375,1975-12-04 01:00:00,139095.3203125,29,1975-11-30 12:00:00,12081.12158203125,7629.520894368489,13847.97692972819,114,none,0,0,0,True
1977,1977-03-10 08:00:00,15519.2861328125,1977-03-09 23:00:00,16364.0224609375,9,1977-02-22 17:00:00,3231.1378173828125,2546.311710357666,3217.2058741887413,375,none,0,0,0,True
1978,1977-12-03 05:00:00,106805.3671875,1977-12-02 21:00:00,161401.9921875,8,1977-11-25 05:00:00,13324.4921875,6319.749430338542,13566.921529134117,192,none,0,0,0,True
1979,1979-02-07 20:00:00,44242.5,1979-02-07 12:00:00,49830.3525390625,8,1979-02-04 08:00:00,3652.4931640625,1544.2486165364583,3741.4842224121094,84,none,0,0,0,True
1980,1979-12-18 19:00:00,40595.6953125,1979-12-18 12:00:00,50165.830078125,7,1979-12-01 14:00:00,3565.4183349609375,1650.6025822957356,4009.698559951782,413,none,0,0,0,True
1981,1980-12-27 20:00:00,65870.34375,1980-12-26 23:00:00,87050.369140625,21,1980-12-20 18:00:00,11864.205078125,7891.052022298177,11806.461131795248,170,none,0,0,0,True
1982,1982-01-24 21:00:00,72963.8671875,1982-01-24 12:00:00,89872.25390625,9,1982-01-13 14:00:00,8299.248779296875,4346.470031738281,8300.471123250325,271,none,0,0,0,True
1983,1982-12-04 17:00:00,68926.984375,1982-12-04 09:00:00,89790.564453125,8,1982-11-16 23:00:00,7083.810791015625,2955.74001566569,7048.160314687093,426,none,0,0,0,True
1984,1984-01-25 20:00:00,42359.0703125,1984-01-25 11:00:00,62011.888671875,9,1984-01-23 05:00:00,8273.02001953125,5606.191375732422,8318.64517771403,63,none,0,0,0,True
1985,1984-11-29 02:00:00,21996.890625,1984-11-28 18:00:00,22472.48828125,8,1984-11-23 19:00:00,9522.416015625,8899.660135904947,9543.926850382486,127,none,0,0,0,True
1986,1986-02-24 16:00:00,71954.96875,1986-02-24 08:00:00,96939.67578125,8,1986-02-22 12:00:00,9459.429931640625,6592.8486328125,10834.395768229166,52,none,0,0,0,True
1987,1986-11-24 22:00:00,88456.3125,1986-11-24 14:00:00,107037.234375,8,1986-11-18 16:00:00,7272.8671875,2383.428914388021,7316.590899658204,150,none,0,0,0,True
1988,1987-12-10 23:00:00,50583.1328125,1987-12-10 15:00:00,69367.595703125,8,1987-12-02 06:00:00,4429.0887451171875,1189.978925069173,4446.64565264384,209,none,0,0,0,True
1989,1988-11-24 12:00:00,21593.453125,1988-11-23 11:00:00,26111.1337890625,25,1988-11-20 10:00:00,8768.268310546875,8082.392903645833,8957.400927734376,98,none,0,0,0,True
1990,1990-01-10 07:00:00,107518.578125,1990-01-09 23:00:00,137224.30859375,8,1990-01-05 19:00:00,9095.0478515625,2882.220799446106,9106.608701531091,108,none,0,0,0,True
1991,1990-11-25 08:00:00,79851.3515625,1990-11-25 01:00:00,115724.703125,7,1990-11-21 22:00:00,12582.96630859375,7136.573109944661,12367.506759134929,82,none,0,0,0,True
1992,1992-01-31 18:00:00,39013.2265625,1992-01-29 01:00:00,47000.130859375,65,1992-01-23 14:00:00,7451.19091796875,5397.048929850261,7418.5652414957685,196,none,0,0,0,True
1993,1993-03-26 00:00:00,23994.3203125,1993-03-23 20:00:00,35238.8056640625,52,1993-03-14 17:00:00,7497.076416015625,5954.4169514973955,7375.175844319661,271,none,0,0,0,True
1994,1994-03-04 13:00:00,23617.935546875,1994-03-04 05:00:00,31283.4677734375,8,1994-02-15 08:00:00,4887.748779296875,3560.5753377278647,4908.853496297201,413,none,0,0,0,True
1995,1994-12-28 04:00:00,50523.703125,1994-12-27 18:00:00,66862.234375,10,1994-12-16 12:00:00,8079.474609375,5342.763336181641,8277.442568461101,280,none,0,0,0,True
1996,1996-02-09 10:00:00,155568.203125,1996-02-09 01:00:00,217608.3828125,9,1996-02-06 02:00:00,15512.29052734375,5567.120992024739,15685.078353881836,80,none,0,0,0,True
1997,1997-01-03 07:00:00,74883.4921875,1997-01-01 19:00:00,92179.2421875,36,1996-12-24 19:00:00,13363.94482421875,9466.555867513021,13541.992478434246,228,none,0,0,0,True
1998,1997-11-01 16:00:00,35846.62890625,1997-10-31 09:00:00,40010.90234375,31,1997-10-29 10:00:00,5199.767333984375,4333.0439860026045,6016.526942952474,78,none,0,0,0,True
1999,1998-11-26 22:00:00,64153.25,1998-11-26 14:00:00,78254.201171875,8,1998-11-20 02:00:00,5677.369140625,2116.28195699056,5795.453511810303,164,none,0,0,0,True
2000,1999-11-27 04:00:00,56315.125,1999-11-26 14:00:00,83908.46875,14,1999-11-24 10:00:00,8119.108154296875,5543.1313883463545,9337.930873616537,66,none,0,0,0,True
2001,2001-05-02 17:00:00,15588.7294921875,2001-05-01 11:00:00,16031.95166015625,30,2001-04-24 17:00:00,6960.988525390625,6459.9831949869795,6934.001391601563,192,none,0,0,0,True
2002,2001-12-17 20:00:00,60018.3671875,2001-12-17 12:00:00,69615.744140625,8,2001-12-13 04:00:00,11493.388671875,8672.967814127604,11525.803049723307,112,none,0,0,0,True
2003,2003-02-01 13:00:00,86686.7265625,2003-02-01 03:00:00,117358.54296875,10,2003-01-23 02:00:00,10686.462646484375,5418.118581136067,10845.945773824056,227,none,0,0,0,True
2004,2004-01-31 01:00:00,47291.60546875,2004-01-30 17:00:00,61188.77734375,8,2004-01-23 23:00:00,12316.57958984375,9855.494059244791,12260.846431477865,170,none,0,0,0,True
2005,2005-01-19 11:00:00,37413.58984375,2005-01-18 23:00:00,59623.361328125,12,2005-01-17 13:00:00,4919.70166015625,2801.2041829427085,5570.799881998699,46,none,0,0,0,True
2006,2006-01-11 20:00:00,65061.90234375,2006-01-10 21:00:00,78775.328125,23,2006-01-06 15:00:00,19367.3076171875,16531.1640625,19598.084993489585,125,none,0,0,0,True
2007,2006-11-08 10:00:00,107689.546875,2006-11-07 18:00:00,157318.2109375,16,2006-11-04 05:00:00,8112.63671875,710.8178850809733,8273.077381451925,101,none,0,0,0,True
2008,2007-12-04 11:00:00,67871.0078125,2007-12-04 04:00:00,92646.671875,7,2007-12-02 14:00:00,6652.8516845703125,2339.8657693862915,6752.644567505518,45,none,0,0,0,True
2009,2009-01-09 00:00:00,106659.0,2009-01-08 15:00:00,146543.9765625,9,2008-12-28 02:00:00,9101.51318359375,2369.528288523356,9273.515025138857,286,none,0,0,0,True
2010,2009-11-20 08:00:00,24976.060546875,2009-11-20 01:00:00,23886.6923828125,7,2009-11-06 07:00:00,4163.41064453125,3164.67605082194,4168.63001276652,337,none,0,0,0,True
2011,2011-01-19 14:00:00,70999.1171875,2011-01-17 15:00:00,87398.794921875,47,2011-01-12 21:00:00,11051.17236328125,7307.000427246094,11185.315103149414,161,none,0,0,0,True
2012,2012-02-24 22:00:00,41593.99609375,2012-02-23 11:00:00,43323.873046875,35,2012-02-18 09:00:00,8511.0107421875,6878.519388834636,8690.432294718425,157,none,0,0,0,True
2013,2012-11-20 14:00:00,45456.5234375,2012-11-20 06:00:00,59723.287109375,8,2012-11-17 16:00:00,7049.015625,4480.476165771484,7128.28614654541,70,none,0,0,0,True
2014,2014-03-10 04:00:00,51169.765625,2014-03-09 23:00:00,59173.736328125,5,2014-03-02 18:00:00,12405.40869140625,10026.553141276041,12423.465620930989,178,none,0,0,0,True
2015,2015-01-06 08:00:00,39566.25390625,2015-01-06 00:00:00,47112.43359375,8,2015-01-04 07:00:00,8836.41455078125,6995.751485188802,8955.522716267904,49,none,0,0,0,True
2016,2015-12-10 00:00:00,109836.0859375,2015-12-09 17:00:00,156583.7265625,7,2015-12-06 09:00:00,11595.6748046875,4578.313222249349,11850.020217386882,87,none,0,0,0,True
2017,2017-03-16 15:00:00,54361.51953125,2017-03-16 00:00:00,67519.203125,15,2017-03-08 02:00:00,11449.232421875,8565.892008463541,11459.901354980468,205,none,0,0,0,True
2018,2017-11-24 22:00:00,44891.71875,2017-11-24 00:00:00,57096.25,22,2017-11-13 08:00:00,6580.865478515625,3950.697926839193,6531.9238377889,278,none,0,0,0,True
2019,2018-12-19 07:00:00,25519.630859375,2018-12-18 23:00:00,27686.751953125,8,2018-12-09 17:00:00,3397.764404296875,2422.1908671061196,3587.7788558959955,230,none,0,0,0,True
2020,2020-02-08 16:00:00,61189.28515625,2020-02-08 09:00:00,79814.015625,7,2020-01-22 10:00:00,13212.096923828125,10221.618082682291,13565.827673339843,414,none,0,0,0,True
2021,2021-01-14 02:00:00,52011.55078125,2021-01-13 14:00:00,67866.34375,12,2020-12-30 17:00:00,11083.7119140625,7634.717437744141,10462.116754659017,345,none,0,0,0,True
2022,2022-01-07 18:00:00,68804.3203125,2022-01-07 09:00:00,83065.408203125,9,2022-01-03 04:00:00,4785.103515625,5581.6173909505205,9317.861277262371,110,none,7,0,0,True
2023,2022-12-28 15:00:00,46978.359375,2022-12-27 20:00:00,69597.087890625,19,2022-12-23 23:00:00,5832.401123046875,1963.0369338989258,5175.862837855021,112,none,0,0,0,True
2024,2023-12-07 06:00:00,65848.4375,2023-12-06 18:00:00,87561.640625,12,2023-12-02 06:00:00,3474.517578125,1623.5580854415894,5838.533224789301,120,none,1,0,0,True
2025,2025-02-26 08:00:00,44562.2421875,2025-02-25 23:00:00,44321.4638671875,9,2025-02-19 11:00:00,3301.482177734375,2013.0747197469075,4051.7805011749265,165,none,4,0,0,True
2026,2025-12-12 11:00:00,95673.7421875,2025-12-11 11:00:00,117473.8671875,24,2025-12-05 13:00:00,9133.25,3318.2848485310874,8846.965137354533,166,none,0,0,0,True
